Element,Sample,Actual_Mass_Balance_Error,Predicted_Mass_Balance_Error,Source
P,32,0.00010567508754335602,0.00010567508754335602,TransalloySlag
Mn,33,0.014950849986093903,0.02434466301280229,TransalloySlag
Fe,33,0.006426161697555736,0.003358376104868897,TransalloySlag
Si,33,0.04790040142182243,0.04697990797990827,TransalloySlag
Ca,33,0.09617286108129125,0.10509610267972402,TransalloySlag
Al,33,0.17003243345125446,0.17256686536333943,TransalloySlag
Mg,33,0.001817627852045929,0.0031840599159093166,TransalloySlag
C,33,0.0,0.0,TransalloySlag
O,33,0.025395477078789308,0.023471621137381438,TransalloySlag
K,33,0.0023408637309439892,0.0023408637309439892,TransalloySlag
Ba,33,0.002445714911817303,0.0014218161908287092,TransalloySlag
S,33,0.0005529332731554984,0.0004522541588907385,TransalloySlag
Ti,33,0.0005008401593673388,0.0004915183532595658,TransalloySlag
P,33,0.00010567508754335602,0.00010567508754335602,TransalloySlag
Mn,34,0.024459588603171475,0.020041239519469956,TransalloySlag
Fe,34,0.00884828543289462,0.00884828543289462,TransalloySlag
Si,34,0.03391985087372164,0.020698509284523686,TransalloySlag
Ca,34,0.030052284877686852,0.020202681499580738,TransalloySlag
Al,34,0.1111328753068789,0.09682771934605014,TransalloySlag
Mg,34,0.009804338980359463,0.012227450956083859,TransalloySlag
C,34,0.0,0.0,TransalloySlag
O,34,0.003033677267582746,0.00785831730415143,TransalloySlag
K,34,0.0023408637309439892,0.0023408637309439892,TransalloySlag
Ba,34,0.002445714911817303,0.002445714911817303,TransalloySlag
S,34,0.00012677980964506306,0.0002066935924834973,TransalloySlag
Ti,34,0.0005008401593673388,0.000496672508781065,TransalloySlag
P,34,0.00010567508754335602,0.00010567508754335602,TransalloySlag
Mn,35,0.026679842169641407,0.017930982945188162,TransalloySlag
Fe,35,0.007853881278538814,0.007413413977553717,TransalloySlag
Si,35,0.03163935085032653,0.033361011502427276,TransalloySlag
Ca,35,0.027866573699921876,0.03327918880506461,TransalloySlag
Al,35,0.11325900433974014,0.12025235899852753,TransalloySlag
Mg,35,0.009188450888736717,0.012110111913219486,TransalloySlag
C,35,0.0,0.0,TransalloySlag
O,35,0.005511734677297375,0.011257123970203953,TransalloySlag
K,35,0.0023408637309439892,0.0023408637309439892,TransalloySlag
Ba,35,0.002445714911817303,0.002445714911817303,TransalloySlag
S,35,0.00024558881658291146,0.00017438192353747445,TransalloySlag
